Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
River of Life Family Church,31150001800000010050000000,31150001800000010050000000,750 James Street,,Syracuse,Onondaga,NY,13203,"9 AM give-away; first come, first served",,,,,,,,,,,,,,,315-472-7625,,SyracuseRiver@gmail.com,www.SyracuseRiver.org,,"<p> Provides a free turkey giveaway the Saturday before Thanksgiving every year; Saturday, November 21, 2015. Doors open at 9 AM and they are given away on a first come, first served basis until they run out.<br /> <br /> =========================<br /> River of Life Turkey Give Away, River of Life Turkey Give-Away, River of Life Turkey Giveaway</p>",Onondaga County,,Low-income Onondaga County residents,,501(c)(3),Faith-based,,Parking in back of building,None,Walk-in for service,None,Thanksgiving Programs;,NY - Onondaga County;,-76.14126762,43.05541872
"Roger Greenberg, PhD",31150004900000010020000000,31150004900000010020000000,SUNY Upstate Medical - Psychology Division,713 Harrison Street,Syracuse,Onondaga,NY,13210,"By Appointment; Monday - Friday, call for hours",,,,,,,,,,,315-464-3163,,,,315-464-3120,,,,,"Provides mental health counseling to individuals ages 17 years and older.<br /><br />=====================================<br />Therapist, Counselor, PhD, Psychologist, Roger P. Greenberg, Roger P Greenberg",Onondaga and Oswego counties,,Individuals ages 17 years and older,NY 68 003532 (06/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Anger Management; Marriage Counseling; Stress Management; Individual Counseling; Adolescent/Youth Counseling; Divorce Counseling; Bereavement Counseling; Employment Transition Counseling; Psychiatric Disorder Counseling; Psychodynamic Therapy; Behavior Modification; Cognitive Behavioral Therapy; Rational Emotive Therapy; Private Counseling / Therapy; Eclectic Therapy; Adolescent/Youth Counseling; Individual Counseling;,NY - Oswego County; NY - Onondaga County;,-76.1405043,43.04336573
"Robert Gregory, MD",31150004900000010020000000,31150004900000010020000000,SUNY Upstate Medical University Department of Psychiatry,750 East Adams Street,Syracuse,Onondaga,NY,13210,"Monday, 9 AM - 5 PM; by appointment",,,,,,,,,,,315-464-3163,,,,315-464-3120,,,www.upstate.edu/ddp,,"Provides mental health counseling and medication management to individuals ages 17 years and older. Offers Dynamic Deconstructive Psychotherapy (DDP, an evidence-based treatment for borderline personality disorder).<br /><br />====================================<br />Counselor, Therapist, MD, Psychiatrist",Onondaga and Oswego counties,,Individuals ages 17 years and older,NY 60 192007 (07/18),501(c)(3),Nonprofit - Incorporated,,Fully Accessible,Call to verify insurance information or private pay fees,Appointment required; call for information,Picture ID and proof of insurance,Suicide Counseling; Substance Use Disorder Counseling; Individual Counseling; Eating Disorders Treatment; Adult Psychiatry; General Psychiatry; Geriatric Psychiatry; Clinical Psychiatric Evaluation; Psychiatric Disorder Counseling; Psychiatric Medication Services; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.1405043,43.04336573
"Humanitarian Organization for Multicultural Experience (HOME, Inc)",31150001600000190030000000,31150001600000190030000000,831 James Street,,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-472-5536,,,,315-472-5110,,agency@homeincny.org,www.homeincny.org,"Private, Nonprofit","<p> Assists individuals who are developmentally disabled and their families with attaining a safe, healthy, and nurturing environment.</p>","Cayuga, Cortland, Onondaga, and Oswego counties",,Individuals with developmental disabilities and their families,,501(c)(3),Nonprofit - Incorporated,OMRDD/Medicaid Funding/VESID,Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County; NY - Cayuga County; NY - Cortland County; NY - Oswego County;,-76.14014845,43.05711656
Syracuse City School District (SCSD),31150004800000170020010000,31150004800000170020010000,725 Harrison Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 8 AM - 4:30 PM",315-435-4545,Student Registration Center,,,,,,,,,315-435-4015,,,,315-435-4499,,Talentmanagement@scsd.us,www.syracusecityschools.com/,Educational Institute,Provides a grade system of learning in a formal school setting from grades Pre-Kindergarten through 12th.,Syracuse City School District,,Individuals residing in the Syracuse City School District,,501(c)(3),Nonprofit - Unincorporated,"State and Local Taxes, Federal and State Grants, Student Fees",Fully Accessible,None,Call to register,"Proof of residency (2 documents required), proof of age, immunization records, physical examination records, custody papers (if applicable), latest report card or transcript (if applicable), copy of most recent IEP (if applicable)",School Districts; Elementary/Secondary School Registration Offices;,NY - Onondaga County - Syracuse;,-76.13995395,43.04475464
Crouse Hospital,31150004900000160010110000,31150004900000160010110000,736 Irving Avenue,,Syracuse,Onondaga,NY,13210,24 Hours / 7 Days,315-470-7511,Patient Information,315-470-7411,Emergency Department,315-470-2951,PromptCare,315-470-7087,Patient & Guest Relations,,,,,,,315-470-7111,,,www.crouse.org,"Private, Nonprofit","Offers a full range of general and specialty care, inpatient and outpatient services, and community health education and outreach programs.<br /><br />============================<br />PromptCare, Prompt Care","Cayuga, Chenango, Cortland, Madison, Oneida, Onondaga, and Oswego counties",,No restrictions,,501(c)(3),Nonprofit - Incorporated,"Private, nonprofit",Fully Accessible,,,,General Acute Care Hospitals;,NY - Onondaga County; NY - Oswego County; NY - Oneida County; NY - Madison County; NY - Chenango County; NY - Cortland County; NY - Cayuga County;,-76.13984202,43.04107294
Syracuse VA Medical Center,31150004900000160080000000,31150004900000160080000000,800 Irving Avenue,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 8 AM - 4:30 PM",800-273-5255 x1,Veterans Crisis Line,,,,,,,,,315-425-4375,,800-792-4334,888-838-7697,315-425-4400,,,www.syracuse.va.gov,Public-Federal,Provides various medical and supportive services to veterans and their families.,"Broome, Cayuga, Chenango, Cortland, Fulton, Hamilton, Herkimer, Jefferson, Lewis, Madison, Montgomery, Oneida, Onondaga, Oswego, Saint Lawrence, Seneca, Tioga, Tompkins, and Wayne counties",,Individuals with Veteran status,,None or unknown,Government - Federal,US Government,Fully Accessible,,,,Volunteer Opportunities; Veterans Affairs Medical Centers;,NY - Oswego County; NY - Onondaga County; NY - Lewis County; NY - Saint Lawrence County; NY - Oneida County; NY - Herkimer County; NY - Madison County; NY - Chenango County; NY - Cortland County; NY - Cayuga County; NY - Tompkins County; NY - Wayne County,-76.13954143,43.03865974
Phoenix Philosophies,31150007100000160030000000,31150007100000160030000000,222 Orlando Avenue,,Syracuse,Onondaga,NY,13205,No set business hours; will respond to voice messages left on answering machine,,,,,,,,,,,,,,,315-299-7438,,phoenixphilosophiesinc@gmail.com,www.phoenixphilosophies.org,"Private, Nonprofit","<p> Acquires neglected properties and restores them, creating both low income permanent housing and possible home ownership on a five year plan.<br /> <br /> ================================<br /> Low-Income Housing, Low - Income Housing</p>",Onondaga County,,Income requirements apply; call for details,,501(c)(3),Nonprofit - Unincorporated,"Donations, State, County and Federal grants",Not applicable; services provided off-site,None,Call for information on current properties,Call for documentation requirements,Urban Housing Development;,NY - Onondaga County;,-76.13928112,43.00170605
State University of New York (SUNY) College of Environmental Science and Forestry,31150005000000030030010000,31150005000000030030010000,1 Forestry Drive,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,,,,,315-470-6500,,,www.esf.edu,Public-State,"Offers undergraduate and graduate degrees focusing on engineering, policy, and management of natural resources and the environment.<br /><br />=====================<br />SUNY-ESF, SUNY ESF, SUNY College of Environmental Science and Forestry, State University of New York College of Environmental Science and Forestry",New York State,,No restrictions,,501(c)(3),Nonprofit - Unincorporated,"Tution, Contributions and State Funding",Fully Accessible,Call for tuition information,Complete online application,Call for required documentation,Public Colleges/Universities;,NY;,-76.13912558,43.0362579
Syracuse University College of Law Office of Clinical Legal Education,31150005000000030030010000,31150005000000030030010000,950 Irving Avenue,Dineen Hall,Syracuse,Onondaga,NY,13244,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-443-3636,,888-797-5291,,315-443-4582,,,http://law.syr.edu/academics/clinical-experiential/clinical-legal-education/,Educational Institute,Provides individuals with services of law students who provide legal assistance to the community under the supervision of the Law School.,Onondaga and surrounding counties,,Onondaga County residents,,501(c)(3),Nonprofit - Unincorporated,Tution and grants,Fully Accessible,None,Call for information and services,No documentation initially required,,NY - Onondaga County;,-76.13912558,43.0362579
Women's Opportunity Center (WOC),31150001600000180250000000,31150001600000180250000000,901 James Street,2nd Floor,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8:30 AM - 4 PM",,,,,,,,,,,315-446-5869,,,,315-446-0550,,info@womensopportunity.org,www.womensopportunity.org,,"Provides services, information, and support to help women in transition from poverty achieve personal and economic self-sufficiency.",Onondaga and Oswego counties,,Low-income adult women,,501(c)(3),Nonprofit - Unincorporated,Fees; Donations; United Way;,Fully Accessible,None,Call for information,None,Volunteer Opportunities;,NY - Onondaga County; NY - Oswego County;,-76.13902874,43.05762122
Central New York Perinatal and Infant Bereavement Network,31150004900000160070010000,31150004900000160070010000,Crouse Hospital,736 Irving Avenue,Syracuse,Onondaga,NY,13210,"Administrative hours: Monday - Friday, 8 AM - 4 PMVoicemail and online access available 24 Hours / 7 Days",,,,,,,,,,,,,,,315-470-7372,,,www.cnypibn.org,,"Provides parent perinatal and infant bereavement care through information sharing, education, parent support, community programs, and referral services for bereaved families and care providers.<br /><br />=====================<br />CNYPIBN, CNY - PIBN","Broome, Cayuga, Chenango, Cortland, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, St. Lawrence, Tioga and Tompkins counties",,"Parents, family, or friends struggling with the loss of a pregnancy or infant death",,None or unknown,Voluntary association,,Fully Accessible,None,None; call for information and services,None,Information and Referral; Information and Referral; Subject Specific Public Awareness/Education; Subject Specific Public Awareness/Education;,NY - Oswego County; NY - Onondaga County; NY - Broome County; NY - Cayuga County; NY - Chenango County; NY - Cortland County; NY - Jefferson County; NY - Lewis County; NY - Madison County; NY - Oneida County; NY - Saint Lawrence County; NY - Tioga County;,-76.13876421,43.04127972
New York State Worker's Compensation Board,31150001600000180220000000,31150001600000180220000000,935 James Street,,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,877-533-0337,,,,866-802-3730,,general_information@wcb.ny.gov,www.wcb.ny.gov,Public-State,"Hears and determines claims for compensation including both occupational and non-occupational disability benefits, claims for compensation of Civil Defense Volunteers, and claims under the Volunteer Firefighter's Benefits Law and the Volunteer Ambulance Workers' Law.<br /><br />Workers Compensation is a disability insurance program mandated by the state and funded by employer contributions which provides compensation to covered employees for loss of their earnings as a result of an accidental injury or occupational disease sustained during employment, or which compensates dependents in case of a work-related death.<br /><br />==========================================<br />NYS Worker's Comp, NYS Workers Comp","Cayuga, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego and Saint Lawrence counties",,New York State residents that meet other qualifying criteria; call for details,,None or unknown,Government - State,Government Funding,Fully Accessible,None,Call or go online for information on how to apply,Call or go online for list of documents,Workers Compensation;,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Oneida County; NY - Madison County; NY - Lewis County; NY - Hamilton County; NY - Cayuga County;,-76.13812403,43.05839192
